Nigeria;America;accede_to
Sudan;China;include
United States;Putin;include
United States;SS;include
United States;Russia;include
OSCE;Russia;include
OSCE;SS;include
OSCE;Russia;include
Europe;Australia;include
Russia;RT;insist_on
Moscow;Ukraine;interest_in
Moscow;Ukraine;interest_in
Afghanistan;UN;involve
Afghanistan;United States;involve
Vienna;Kiev;justify
Vienna;Kiev;justify
Washington;Iran;keep_pressure_on
Washington;Iran;keep_pressure_on
Kiev;Kiev;launch
Kiev;Yanukovich;lead_to
Putin;Crimea;leave_for
Europe;SS;make
Europe;Russia;make
Russia;Ukraine;make
Russia;Ukraine;make
Rompuy;EU;make_remark_during
Rompuy;UN;make_remark_during
Rompuy;Europe;make_remark_during
Rompuy;EU;make_remark_during
Rompuy;UN;make_remark_during
Rompuy;Europe;make_remark_during
Sterling;Los Angeles Clippers;make_remark_during
Sterling;GE;make_remark_during
Beijing;Japan;mark
China;Japan;mark
Japan;Japan;mark
Europe;GE;mark_by
India;SS;meet
India;Russia;meet
China Sea;Dempsey;meet
China Sea;Martin;meet
China Sea;GE;meet
China Sea;RT;meet
China;Dempsey;meet
Washington;Dempsey;meet
EU;Brussels;meet_in
EU;SS;meet_in
EU;Brussels;meet_in
China;Zeguang;meet_with
Kiev;CIA;meet_with
Rompuy;Burkhalter;meet_with
Hagel;Estonia;meet_with
Ukraine;Ukraine;move
Washington;Chemezov;move_against
Washington;GE;move_against
Moscow;SS;move_in_on
Moscow;Crimea;move_in_on
Moscow;Crimea;move_in_on
Moscow;Russia;move_in_on
Tymoshenko;RT;nominate_by
Soviet Union;RIA;occupy
Soviet Union;Austria;occupy
Kiev;Ukraine;offer
Russia;Ukraine;offer
Kiev;Ukraine;offer
Russia;China;offer
Oettinger;Germany;offer
Oettinger;AP;offer
EU;Germany;offer
Oettinger;Berlin;offer
Oettinger;Germany;offer
Putin;Washington;offer
Steinmeier;King;offer
Steinmeier;Lavrov;offer
Steinmeier;Lavrov;offer
Steinmeier;RT;offer
Steinmeier;SS;offer
Steinmeier;UN;offer
Steinmeier;Russia;offer
Moscow;EU;offer
Moscow;SS;offer
Moscow;EU;offer
Moscow;Russia;offer
Moscow;Ukraine;offer
Dempsey;RIA;oust
Dempsey;Syria;oust
Putin;Russia;oversee
Putin;SS;oversee
Putin;UN;oversee
Putin;Russia;oversee
